"","ID","X..of.Rep.","UT.Date...Time","Local.Date...Time","Countries","States","D..Sound","C..Sound","Frag"
"490","Event 5164-2018","1","2018-11-22 19:38 UT","2018-11-22 19:38								WET","PT","Lisbon","1 no","1 no","1 yes"
"526","Event 5234-2018","1","2018-11-22 18:05 UT","2018-11-22 19:05								CET","FR","Bretagne","1 no","1 no","n/a"
"615","Event 5162-2018","5","2018-11-22 17:52 UT","2018-11-22 18:52								CET","FR 
										
									    
																			DE 
										
									    
																			BE","Auvergne-Rhône-Alpes, Baden-Württemberg, Bourgogne Franche-Comté, Vlaanderen, Wallonie","2 no","1 yes 
											
																															
												 1 no","1 yes 
											
																															
												 2 no"
"715","Event 5161-2018","1","2018-11-22 16:25 UT","2018-11-22 17:25								CET","DE","Bayern","1 no","1 no","1 no"
"815","Event 5159-2018","3","2018-11-22 13:09 UT","2018-11-22 05:09								PST","US","CA","2 no","2 no","1 no"
"915","Event 5233-2018","1","2018-11-22 10:20 UT","2018-11-22 05:20								CST","CU","Holguin","1 no","1 no","1 no"
"1015","Event 5170-2018","1","2018-11-22 10:20 UT","2018-11-22 05:20								EST","CA","Ontario","1 no","1 no","1 no"
"1115","Event 5163-2018","2","2018-11-22 10:00 UT","2018-11-22 05:00								EST","US","CT, PA","2 no","1 no","1 yes 
											
																															
												 1 no"
"1215","Event 5169-2018","1","2018-11-22 06:33 UT","2018-11-22 01:33								EST","US","NY","1 no","1 no","n/a"
"1315","Event 5158-2018","3","2018-11-22 06:30 UT","2018-11-21 22:30								PST","US",", OR","3 no","3 no","2 no"
"1415","Event 5157-2018","1","2018-11-22 05:49 UT","2018-11-22 00:49								EST","US","PA","1 no","1 no","1 no"
"1515","Event 5156-2018","1","2018-11-22 05:20 UT","2018-11-21 21:20								PST","US","WA","1 no","1 no","1 no"
"1615","Event 5155-2018","1","2018-11-22 04:56 UT","2018-11-22 04:56								GMT","GB","Northern Ireland","1 no","1 no","1 no"
"1715","Event 5154-2018","1","2018-11-22 04:30 UT","2018-11-21 21:30								MST","US","CO","1 no","1 no","n/a"
"1815","Event 5153-2018","1","2018-11-22 03:25 UT","2018-11-21 22:25								EST","US","MI","1 no","1 no","n/a"
"1915","Event 5152-2018","2","2018-11-22 03:12 UT","2018-11-21 20:12								MST","US","CO","1 no","1 no","1 no"
"2015","Event 5151-2018","5","2018-11-22 01:55 UT","2018-11-22 01:55								GMT","GB","England","1 yes											
																															
												 3 no","3 no","2 no"
"2119","Event 5150-2018","2","2018-11-22 01:28 UT","2018-11-21 18:28								MST","US","CO, WY","1 no","1 no","1 yes 
											
																															
												 1 no"
"2217","Event 5149-2018","3","2018-11-22 01:23 UT","2018-11-21 19:43								2 time zones","US","AL, GA","2 no","2 no","2 no"
"2315","Event 5288-2018","1","2018-11-22 01:02 UT","2018-11-22 02:02								CET","DE","Sachsen","1 no","1 no","n/a"
"2415","Event 5148-2018","1","2018-11-22 00:59 UT","2018-11-21 21:59								-3 time zones","BR","Pernambuco","1 no","1 no","1 no"
"2515","Event 5147-2018","1","2018-11-22 00:40 UT","2018-11-21 19:40								EST","US","VA","1 no","n/a","n/a"
"2615","Event 5190-2018","1","2018-11-21 21:35 UT","2018-11-21 17:35								AST","BB","Saint Thomas","1 no","1 no","1 no"
"2715","Event 5146-2018","15","2018-11-21 19:58 UT","2018-11-21 20:10								2 time zones","GG 
										
									    
																			GB 
										
									    
																			FR","Bretagne, England, Saint Saviour","13 no","13 no","1 yes 
											
																															
												 12 no"
"2815","Event 5145-2018","1","2018-11-21 18:25 UT","2018-11-21 18:25								GMT","GB","England","1 no","1 no","n/a"
"2915","Event 5189-2018","1","2018-11-21 17:50 UT","2018-11-21 18:50								CET","FR","Centre-Val de Loire","1 no","1 no","1 no"
"3015","Event 5384-2018","1","2018-11-21 17:00 UT","2018-11-21 18:00								CET","FR","Auvergne-Rhône-Alpes","1 no","1 no","1 yes"
"3119","Event 5383-2018","1","2018-11-21 11:21 UT","2018-11-21 05:21								CST","US","TX","n/a","n/a","1 no"
"3217","Event 5140-2018","1","2018-11-21 11:18 UT","2018-11-21 06:18								EST","US","IN","1 no","1 no","1 no"
"3315","Event 5139-2018","3","2018-11-21 10:57 UT","2018-11-21 04:57								CST","US","LA","2 no","2 no","1 yes"
"3415","Event 5138-2018","1","2018-11-21 10:30 UT","2018-11-21 05:30								EST","US","FL","1 no","1 no","n/a"
"3515","Event 5137-2018","1","2018-11-21 09:21 UT","2018-11-21 03:21								CST","US","TX","1 no","1 no","n/a"
"3615","Event 5136-2018","1","2018-11-21 09:10 UT","2018-11-21 13:10								4 time zones","RE","","1 no","1 no","n/a"
"3715","Event 5132-2018","3","2018-11-21 07:16 UT","2018-11-21 07:16								GMT","GB","England","2 no","2 no","1 no"
"3815","Event 5133-2018","2","2018-11-21 06:59 UT","2018-11-21 01:29								2 time zones","US","IL, OH","2 no","2 no","2 no"
"3915","Event 5134-2018","1","2018-11-21 06:58 UT","2018-11-21 06:58								GMT","GB","England","1 no","1 no","1 no"
"4015","Event 5135-2018","2","2018-11-21 06:56 UT","2018-11-21 06:56								GMT","GB","England","2 no","2 no","2 no"
"4119","Event 5131-2018","3","2018-11-21 05:33 UT","2018-11-20 22:13								2 time zones","US","ID, MT, WA","1 no","3 no","1 no"
"4217","Event 5130-2018","1","2018-11-21 04:45 UT","2018-11-20 23:45								EST","US","FL","1 no","1 no","1 yes"
"4315","Event 5128-2018","4","2018-11-21 04:41 UT","2018-11-20 20:41								PST","US","OR, WA","4 no","4 no","1 yes 
											
																															
												 2 no"
"4415","Event 5129-2018","1","2018-11-21 04:30 UT","2018-11-20 23:30								EST","US","NJ","1 no","1 no","n/a"
"4515","Event 5127-2018","1","2018-11-21 03:40 UT","2018-11-20 20:40								MST","US","CO","n/a","n/a","n/a"
"4615","Event 5126-2018","1","2018-11-21 03:00 UT","2018-11-20 21:00								CST","US","MO","1 no","1 no","n/a"
"4715","Event 5125-2018","2","2018-11-21 02:06 UT","2018-11-20 21:06								EST","US","NJ, PA","2 no","2 no","2 yes"
"4815","Event 5144-2018","2","2018-11-21 01:53 UT","2018-11-21 01:53								GMT","GB","England","1 yes											
																															
												 1 no","1 yes 
											
																															
												 1 no","1 yes"
"4915","Event 5124-2018","1","2018-11-21 01:44 UT","2018-11-20 18:44								MST","US","UT","1 no","1 no","1 yes"
"5015","Event 5123-2018","3","2018-11-21 00:59 UT","2018-11-20 19:59								EST","US","MA, PA","3 no","3 no","2 yes 
											
																															
												 1 no"
"5115","Event 5122-2018","3","2018-11-21 00:21 UT","2018-11-20 18:21								CST","US",", OK","3 no","3 no","1 yes 
											
																															
												 2 no"
"2100","Event 5121-2018","1","2018-11-21 00:01 UT","2018-11-20 18:01								CST","US","IL","n/a","n/a","1 no"
"3100","Event 5120-2018","2","2018-11-20 23:47 UT","2018-11-20 23:47								GMT","GB","England","2 no","2 no","1 yes"
"4100","Event 5119-2018","1","2018-11-20 23:45 UT","2018-11-20 18:45								EST","KY","George Town","1 no","1 yes","1 yes"
"527","Event 5188-2018","1","2018-11-20 23:40 UT","2018-11-20 17:40								CST","US","TX","n/a","n/a","n/a"
"616","Event 5118-2018","2","2018-11-20 22:41 UT","2018-11-20 23:11								2 time zones","FR 
										
									    
																			GB","Bretagne, England","2 no","2 no","2 no"
"716","Event 5117-2018","1","2018-11-20 21:20 UT","2018-11-20 22:20								CET","SE","Norrbotten County","1 no","1 no","n/a"
"816","Event 5382-2018","1","2018-11-20 21:00 UT","2018-11-20 22:00								CET","FR","Pays de la Loire","1 no","1 no","1 yes"
